[ID], [rad-Winkel], [y=sin(6x-3cos(x))]
  223, 4.8090187973, -0.2862783680
  224, 2.8314783573, 0.8394173701
  225, 2.5977690326, -0.6409475297
  226, 5.4382362101, -0.7017260640
  227, 6.0045318815, 0.9878273794
  228, 1.4022559484, 0.9984142627
  229, 5.2494709863, -0.9931863216
  230, 4.0539579021, 0.8555623789
  231, 1.6449540933, -0.6188014583
  232, 5.8607107586, 0.8479504079
  233, 4.8629517184, -0.4380181017
  234, 3.0741765022, 0.5251610814
  235, 5.5371132321, -0.3860345789
  236, 5.3932921092, -0.8102971063
  237, 3.2449640857, -0.4462957839
  238, 1.3842783080, 0.9945315766
  239, 3.0831653224, 0.4770330642
  240, 2.2382162253, 0.4093861696
  241, 0.6471950531, 0.9967244845
  242, 4.1078908231, 0.9389795126
  243, 5.9775654210, 0.9998435750
  244, 0.0449441009, -0.4025370821
  245, 0.2337093247, -0.9985092386
  246, 2.0674286418, 0.9543880610
  247, 0.0629217413, -0.5012648024
  248, 4.6651976744, 0.1411534762
  249, 5.5101467715, -0.4815498875
  250, 1.2314683649, 0.1068601067
  251, 3.2269864453, -0.3521231678
  252, 6.1573418246, 0.5561488670
  253, 2.8944000986, 0.9894853591
  254, 6.1123977237, 0.7443002766
  255, 2.0494510015, 0.8966268589
  256, 5.2944150872, -0.9631797138
  257, 0.9977590402, -0.9385488863
  258, 0.2426981449, -0.9934055724
  259, 0.6831503338, 0.9797991192
  260, 2.4988920106, -0.9932757745
  261, 3.0921541426, 0.4276479811
  262, 2.7595677959, 0.4720245586
  263, 0.4584298293, 0.0602969776
  264, 2.5708025720, -0.7835241768
  265, 5.4112697495, -0.7697132070
  266, 1.2494460053, 0.2628226930
  267, 0.0719105615, -0.5487007680
  268, 1.4741665098, 0.7638240822
  269, 6.1303753641, 0.6745159125
  270, 0.3775304476, -0.4999584041
  271, 4.7910411570, -0.2340095744
  272, 1.6179876328, -0.4120193980
  273, 5.6899231752, 0.2340569890
  274, 0.4044969082, -0.3249133221
  275, 2.0854062822, 0.9890468541
  276, 3.2179976251, -0.3032342214
  277, 3.4876622306, -0.9827207228
  278, 0.5662956715, 0.7618028157
  279, 5.7888001972, 0.6257500533
  280, 1.7438311153, -0.9998708839
  281, 3.6854162746, -0.4376954088
  282, 4.5303653717, 0.5219037871
  283, 0.9528149393, -0.7427202621
  284, 2.7236125151, 0.2317256656
  285, 3.6045168930, -0.7320923872
  286, 5.1416051441, -0.9703856948
  287, 2.7775454362, 0.5803081292
  288, 2.7415901555, 0.3552346475
  289, 2.6876572344, -0.0274239898
  290, 5.9865542412, 0.9979767636
  291, 1.0606807815, -0.9825921400
  292, 5.8876772192, 0.9093562356
  293, 3.6944050948, -0.4015029476
  294, 5.2674486266, -0.9840969987
  295, 2.4719255500, -0.9954793835
  296, 5.0337393019, -0.8308079427
  297, 3.1101317830, 0.3257854982
  298, 4.4404771699, 0.7350567487
  299, 3.8202485773, 0.1236841813
  300, 6.0404871623, 0.9413724113
  301, 2.4359702693, -0.9289189632
  302, 0.4314633687, -0.1358625274
  303, 0.6022509522, 0.9091831328
  304, 2.1932721244, 0.7167883111
  305, 0.4853962898, 0.2560244832
  306, 1.1505689833, -0.5676721650
  307, 3.9820473406, 0.6895846327
  308, 3.3258634673, -0.7914897118
  309, 3.6494609939, -0.5766528535
  310, 0.6921391540, 0.9631304421
  311, 1.7168646548, -0.9669690299
  312, 4.9168846395, -0.5792056392
  313, 5.7977890174, 0.6573804211
  314, 2.0404621813, 0.8594370524
  315, 0.2247205045, -0.9999851492
  316, 2.2741715060, 0.1222412490
  317, 2.4539479097, -0.9720835864
  318, 1.3663006677, 0.9649882662
  319, 1.5640547117, 0.0606371623
  320, 3.2809193664, -0.6172926596
  321, 2.1393392033, 0.9510802518
  322, 0.7011279742, 0.9415391121
  323, 2.2472050455, 0.3398369431
  324, 5.7348672761, 0.4196591246
  325, 1.0876472420, -0.9131769295
  326, 1.1325913429, -0.6893427900
  327, 3.0382212215, 0.7017389705
  328, 3.7393491957, -0.2151497704
  329, 3.1910311646, -0.1507954845
  330, 4.9528399203, -0.6655897759
  331, 0.9348372989, -0.6331245116
  332, 2.7865342564, 0.6307568590
  333, 0.3685416275, -0.5541249536
  334, 3.5505839719, -0.8803834529
  335, 0.8988820182, -0.3748578888
  336, 5.7528449164, 0.4910007493
  337, 4.6022759332, 0.3249948581
  338, 3.5595727921, -0.8591326466
  339, 4.7820523368, -0.2076373666
  340, 4.3326113277, 0.9193888682
  341, 1.8427081373, -0.6475777398
  342, 0.1617987633, -0.9134032861
  343, 3.2090088050, -0.2532994602
  344, 1.7797863960, -0.9536785670
  345, 0.0000000000, -0.1411200081
  346, 2.4899031904, -0.9989495213
  347, 6.1932971054, 0.3761382033
  348, 3.5415951517, -0.9000961964
  349, 0.2786534256, -0.9364463623
  350, 2.7685566160, 0.5273335970
  351, 4.7101417753, 0.0067415697
  352, 3.7483380159, -0.1772472299
  353, 0.6741615136, 0.9914994483
  354, 5.4741914908, -0.5983643741
  355, 4.2517119461, 0.9901603640
  356, 0.5033739302, 0.3823733886
  357, 0.8539379173, -0.0109759612
  358, 4.5033989112, 0.5903757208
  359, 3.8112597571, 0.0867930135
  360, 1.5820323520, -0.1009512583
  361, 5.2404821661, -0.9962955848
  362, 3.4337293095, -0.9962459067
  363, 3.8562038581, 0.2672385124
  364, 6.0764424430, 0.8598514590
  365, 4.2337343057, 0.9967515921
  366, 1.3033789264, 0.6775039401
  367, 1.8696745978, -0.4484030034
  368, 4.5663206524, 0.4257237386
  369, 1.2764124658, 0.4836662442
  370, 1.4292224089, 0.9559113950
  371, 5.4652026706, -0.6255177242
  372, 6.2652076668, -0.0342049183
  373, 1.9236075189, 0.0118858381
  374, 2.1752944840, 0.8140831183
  375, 1.1146137026, -0.7938268191
  376, 0.1348323027, -0.8292781867
  377, 0.4134857284, -0.2631280286
  378, 4.7640746964, -0.1545047612
  379, 3.7932821168, 0.0121318427
  380, 3.4786734104, -0.9900382467
  381, 4.0090138011, 0.7589688789
  382, 0.4764074696, 0.1913136706
  383, 1.5011329704, 0.5865570387
  384, 0.5303403907, 0.5597942839
  385, 2.6696795940, -0.1587037069
  386, 1.5550658915, 0.1410995329
  387, 1.3932671282, 0.9997078399
  388, 1.0427031411, -0.9994826469
  389, 4.1438461039, 0.9747390227
  390, 5.2314933459, -0.9984590610
  391, 5.6539678944, 0.0823226083
  392, 1.7078758346, -0.9432978389
  393, 4.1977790250, 0.9991889780
  394, 0.2966310660, -0.8862536622
  395, 6.0944200834, 0.8062046264
  396, 1.0516919613, -0.9940158103
  397, 5.4292473899, -0.7253212024
  398, 0.5213515706, 0.5026565036
  399, 1.3752894878, 0.9829296396
  400, 4.2876672268, 0.9667316485
  401, 1.2943901062, 0.6166303128
  402, 0.5932621320, 0.8782588515
  403, 4.3955330690, 0.8228418147
  404, 3.6674386342, -0.5084730650
  405, 5.0517169423, -0.8610889148
  406, 3.8292373975, 0.1602188903
  407, 5.0247504817, -0.8147215624
  408, 3.1281094233, 0.2209268760
  409, 2.9123777390, 0.9996986495
  410, 6.2741964870, -0.0876682409
  411, 3.3348522875, -0.8204029443
  412, 0.1258434825, -0.7958300115
  413, 6.0314983421, 0.9562813126
  414, 4.0989020030, 0.9275628907
  415, 5.3393591881, -0.9085721474
  416, 3.0292324013, 0.7410759844
  417, 4.3865442488, 0.8386178260
  418, 2.4090038088, -0.8284844946
  419, 0.8898931980, -0.3043742938
  420, 5.1775604248, -0.9921357357
  421, 2.3550708877, -0.5153341732
  422, 2.5438361115, -0.8942436103
  423, 6.1393641843, 0.6368153717
  424, 0.3235975266, -0.7850071628
  425, 6.1663306448, 0.5133433347
  426, 3.4427181297, -0.9991748664
  427, 5.0427281221, -0.8462693514
  428, 5.6180126137, -0.0682284411
  429, 1.0696696017, -0.9652529889
  430, 0.5393292109, 0.6145498113
  431, 1.8067528566, -0.8544722598
  432, 5.0876722230, -0.9136161867
  433, 0.7550608953, 0.7145052662
  434, 3.9640697002, 0.6387719424
  435, 1.8157416768, -0.8101515765
  436, 4.9798063808, -0.7255132342
  437, 2.4000149886, -0.7860161877
  438, 2.6067578528, -0.5874872882
  439, 1.5730435318, -0.0202234610
  440, 5.3034039073, -0.9542422113
  441, 4.1168796433, 0.9494025609
  442, 1.1236025227, -0.7438958649
  443, 1.6539429135, -0.6801974542
  444, 5.0607057624, -0.8752498918
  445, 0.1707875835, -0.9356034711
  446, 0.1887652238, -0.9705428757
  447, 5.8067778375, 0.6880482697
  448, 0.0988770220, -0.6812785694
  449, 2.5258584711, -0.9475100960
  450, 1.8876522382, -0.3009756651
  451, 0.6292174127, 0.9756881996
  452, 0.9078708384, -0.4433712819
  453, 1.6000099924, -0.2598921612
  454, 1.2584348255, 0.3386704503
  455, 4.7191305955, -0.0202236197
  456, 4.9887952010, -0.7444676671
  457, 2.2112497648, 0.6034235407
  458, 5.0966610432, -0.9249785775
  459, 3.6584498141, -0.5429221224
  460, 5.3843032890, -0.8291373168
  461, 6.2472300265, 0.0721373544
  462, 1.4202335887, 0.9764537137
  463, 5.9595877806, 0.9973008964
  464, 5.4921691312, -0.5415510817
  465, 5.3483480083, -0.8946675515
  466, 2.1123727428, 0.9965132399
  467, 0.9707925797, -0.8356011116
  468, 1.2404571851, 0.1853875626
  469, 5.3753144688, -0.8469997308
  470, 4.7460970561, -0.1009710151
  471, 4.9258734597, -0.6014439001
  472, 2.2561938657, 0.2685212802
  473, 5.8337442981, 0.7735785648
  474, 3.4696845902, -0.9953821676
  475, 3.6135057131, -0.7029993882
  476, 6.2112747457, 0.2783899318
  477, 1.6719205538, -0.7892589483
  478, 4.9348622799, -0.6232657439
  479, 0.4943851100, 0.3198098143
  480, 4.5573318322, 0.4502391938
  481, 5.9685766008, 0.9996075814
  482, 4.8719405386, -0.4623848139
  483, 3.8472150379, 0.2320388634
  484, 1.0157366806, -0.9802744674
  485, 1.3213565667, 0.7860363527
  486, 2.1213615629, 0.9871459817
  487, 3.1640647040, 0.0075177380
  488, 1.1865242640, -0.2846994433
  489, 1.4831553300, 0.7092491349
  490, 4.6382312139, 0.2208414657
  491, 2.3191156069, -0.2454215084
  492, 1.5101217906, 0.5192380584
  493, 1.1595578035, -0.5012763265
  494, 6.0584648026, 0.9049659349
  495, 2.6786684142, -0.0931587868
  496, 3.5236175113, -0.9346598480
  497, 2.8854112784, 0.9788997167
  498, 2.4269814491, -0.9000872330
  499, 0.8089938164, 0.3506923502
  500, 4.7730635166, -0.1811299373
  501, 4.1618237442, 0.9867305992
  502, 5.4472250303, -0.6772164621
  503, 1.7707975758, -0.9747443676
  504, 2.5348472913, -0.9230548132
  505, 3.7213715553, -0.2905106944
  506, 5.6270014339, -0.0308916326
  507, 2.1573168437, 0.8928628800
  508, 2.1303503831, 0.9719620515
  509, 3.9281144195, 0.5268419649
  510, 3.8741814984, 0.3360164460
  511, 5.8517219384, 0.8245129294
  512, 3.1370982435, 0.1677919288
  513, 2.1483280235, 0.9246525732
  514, 5.1955380652, -0.9978482964
  515, 1.5370882511, 0.2987222906
  516, 3.3618187480, -0.8944984865
  517, 1.0337143209, -0.9989878459
  518, 4.8899181790, -0.5101685501
  519, 1.0786584218, -0.9420763869
  520, 5.9955430614, 0.9939792110
  521, 4.0269914415, 0.8005125109
  522, 4.9708175606, -0.7060371293
  523, 4.3056448672, 0.9501139844
  524, 3.4157516691, -0.9839375093
  525, 1.3303453869, 0.8329762793
  526, 4.5393541919, 0.4983468317
  527, 5.6989119954, 0.2717451994
  528, 2.4629367299, -0.9862721550
  529, 4.4314883497, 0.7537438152
  530, 1.7258534749, -0.9843510318
  531, 4.3505889681, 0.8952202513
  532, 0.2157316844, -0.9978704312
  533, 4.0809243626, 0.9017442065
  534, 4.5932871130, 0.3505419867
  535, 5.6449790743, 0.0444361836
  536, 3.0472100417, 0.6603167981
  537, 4.9078958193, -0.5565685778
  538, 4.6292423937, 0.2471395064
  539, 6.0225095219, 0.9689900118
  540, 2.6157466729, -0.5315056069
  541, 1.9775404400, 0.4668589668
  542, 3.1191206031, 0.2736466991
  543, 3.9371032397, 0.5560608236
  544, 5.5281244119, -0.4185693821
  545, 5.7708225568, 0.5598816109
  546, 2.1842833042, 0.7676058327
  547, 3.0202435811, 0.7781710185
  548, 0.8269714567, 0.2095223775
  549, 4.6202535735, 0.2732760914
  550, 2.6427131335, -0.3512628174
  551, 5.5191355917, -0.4504179444
  552, 6.0854312632, 0.8340797805
  553, 4.2607007662, 0.9855640812
  554, 5.8966660394, 0.9266455065
  555, 0.3325863467, -0.7446999837
  556, 3.3887852086, -0.9491019175
  557, 5.1146386835, -0.9454684410
  558, 3.3977740288, -0.9629105725
  559, 2.3101267868, -0.1732980740
  560, 1.7528199355, -0.9979266707
  561, 0.0898882018, -0.6388738550
  562, 4.8809293588, -0.4864408346
  563, 0.3415751669, -0.7013100548
  564, 5.9416101403, 0.9866234517
  565, 2.7505789757, 0.4145857318
  566, 5.2045268853, -0.9993698573
  567, 1.9056298786, -0.1462292175
  568, 1.9685516198, 0.3958457600
  569, 0.9258484787, -0.5728903523
  570, 3.0022659408, 0.8450313307
  571, 3.9191255993, 0.4968381097
  572, 4.6921641350, 0.0606414439
  573, 4.2067678452, 0.9999512165
  574, 5.5011579514, -0.5119365725
  575, 4.3416001479, 0.9076625206
  576, 0.7820273558, 0.5462555706
  577, 2.8584448179, 0.9252352728
  578, 4.8269964377, -0.3377962706
  579, 1.8606857777, -0.5181761346
  580, 0.3955080880, -0.3851351439
  581, 0.2067428642, -0.9922150358
  582, 4.2786784066, 0.9738359653
  583, 5.0786834028, -0.9015298709
  584, 2.6517019537, -0.2880513567
  585, 4.8539628983, -0.4133583035
  586, 0.6382062329, 0.9886127172
  587, 4.6112647533, 0.2992337152
  588, 1.5460770713, 0.2206352739
  589, 4.4674436304, 0.6758830366
  590, 3.2899081866, -0.6558927861
  591, 1.8516969575, -0.5847124798
  592, 3.0112547610, 0.8128718029
  593, 5.6809343550, 0.1962106707
  594, 2.8674336380, 0.9467559268
  595, 4.4494659901, 0.7158393008
  596, 4.6472200341, 0.1943994621
  597, 5.5550908724, -0.3190365487
  598, 6.2292523861, 0.1767099524
  599, 4.2157566653, 0.9997918324
  600, 1.4472000493, 0.8963306150
  601, 0.6651726935, 0.9982119629
  602, 5.9505989604, 0.9929595880
  603, 5.6629567146, 0.1202849452
  604, 5.8427331183, 0.7996999353
  605, 1.2854012860, 0.5518765313
  606, 4.0000249810, 0.7367713884
  607, 1.9146186988, -0.0673427983
  608, 2.5528249317, -0.8612525879
  609, 1.1415801631, -0.6304857916
  610, 6.1753194650, 0.4690075658
  611, 2.0134957208, 0.7171779090
  612, 3.5865392526, -0.7867985628
  613, 1.7887752162, -0.9264798678
  614, 5.3573368284, -0.8797688945
  615, 3.8831703186, 0.3695198096
  616, 2.4179926289, -0.8665629715
  617, 0.2606757853, -0.9722335369
  618, 3.2000199848, -0.2024432212
  619, 1.6809093740, -0.8362181199
  620, 6.2202635659, 0.2279785311
  621, 0.7460720751, 0.7631942375
  622, 2.7326013353, 0.2942009580
  623, 2.0584398217, 0.9283334323
  624, 4.0899131828, 0.9151512613
  625, 4.1258684635, 0.9588344463
  626, 5.1326163239, -0.9628756252
  627, 3.9550808801, 0.6120477072
  628, 5.3213815477, -0.9333955113
  629, 2.9573218399, 0.9630231939
  630, 3.8022709370, 0.0495925910
  631, 4.1798013846, 0.9948597259
  632, 5.7079008155, 0.3092133199
  633, 1.2045019044, -0.1302769630
  634, 0.0808993816, -0.5946262084
  635, 3.5146286911, -0.9493917152
  636, 2.2022609446, 0.6619481404
  637, 3.7573268361, -0.1392770487
  638, 3.3078858270, -0.7275758963
  639, 2.5618137519, -0.8242758527
  640, 3.8382262177, 0.1963516826
  641, 1.5910211722, -0.1810160521
  642, 5.9146436797, 0.9560951776
  643, 0.5752844916, 0.8043580959
  644, 0.7730385356, 0.6057736081
  645, 0.8809043778, -0.2323295427
  646, 1.6269764529, -0.4842733944
  647, 4.0449690819, 0.8381911451
  648, 1.4651776897, 0.8134032653
  649, 4.7281194157, -0.0471757359
  650, 0.3865192678, -0.4435580656
  651, 2.9932771206, 0.8745085716
  652, 0.1168546624, -0.7599133808
  653, 0.6561838733, 0.9999430579
  654, 0.2876422458, -0.9131282637
  655, 1.9865292602, 0.5348976201
  656, 5.4831803110, -0.5703681962
  657, 1.9595627997, 0.3222902716
  658, 3.6404721737, -0.6095957983
  659, 4.5123877313, 0.5679358574
  660, 0.5123627504, 0.4434199030
  661, 3.7303603755, -0.2529247013
  662, 6.1213865439, 0.7103654193
  663, 2.9213665591, 0.9993737913
  664, 4.7371082359, -0.0740973462
  665, 1.3123677466, 0.7340972485
  666, 2.3370932473, -0.3848194403
  667, 4.3595777882, 0.8820782186
  668, 3.1011429628, 0.3771755774
  669, 4.1708125644, 0.9912743262
  670, 3.6314833535, -0.6416811771
  671, 5.4562138504, -0.6518079785
  672, 4.8989069992, -0.5335503396
  673, 2.2651826859, 0.1958509429
  674, 5.7618337366, 0.5257830595
  675, 1.3573118475, 0.9408350223
  676, 0.4494410091, -0.0054242291
  677, 2.9303553793, 0.9954817097
  678, 4.6562088542, 0.1678309759
  679, 5.1865492450, -0.9954329129
  680, 3.5326063315, -0.9182085086
  681, 4.8000299772, -0.2602290747
  682, 4.7011529552, 0.0337024015
  683, 2.7056348748, 0.1034658542
  684, 5.4202585697, -0.7479877915
  685, 3.9460920599, 0.5844703089
  686, 1.6089988126, -0.3370619628
  687, 2.3460820675, -0.4513607700
  688, 5.0696945826, -0.8887356880
  689, 4.8359852579, -0.3632298125
  690, 0.4224745486, -0.2000256275
  691, 6.0674536228, 0.8834884965
  692, 2.9663106600, 0.9455409201
  693, 0.3146087064, -0.8221060634
  694, 3.4247404893, -0.9911738734
  695, 3.3708075682, -0.9148886699
  696, 5.2225045257, -0.9996859472
  697, 0.1797764036, -0.9546851205
  698, 1.9415851593, 0.1693722188
  699, 0.0359552807, -0.3515846646
  700, 5.3303703679, -0.9214815023
